ID Converged Psurf H2O O O2 O3 H2O2
25327 True 0.19646441104247364 229112335932.40198 2.2911E+11 9.1301E-03 1.0596E-02 1.030E-02 5.626E-03
90309 True 0.2047162515944628 228420878410.93127 2.2842E+11 9.9703E-03 1.0079E-02 9.946E-03 5.192E-03
33757 True 0.20336677917011672 228339199826.9298 2.2834E+11 9.9545E-03 1.0151E-02 1.003E-02 4.992E-03
52802 True 0.20875278403899766 228126312760.76663 2.2813E+11 1.0417E-02 9.8248E-03 9.949E-03 4.977E-03
49117 True 0.2060061874775739 228248273522.33176 2.2825E+11 9.8682E-03 1.0008E-02 1.002E-02 4.982E-03
87285 True 0.20498408787907446 228311192134.15872 2.2831E+11 9.9753E-03 1.0064E-02 9.993E-03 4.966E-03
22990 True 0.20703208986079077 227861129986.45282 2.2786E+11 1.0404E-02 9.9017E-03 9.868E-03 4.878E-03
16249 True 0.1989532314754628 228177414242.65363 2.2818E+11 1.0680E-02 1.0309E-02 1.023E-02 4.653E-03
82310 True 0.21189989193552874 227513477283.12634 2.2751E+11 1.0709E-02 9.6738E-03 9.592E-03 4.393E-03
36162 True 0.1938533452988453 227281194946.2616 2.2728E+11 1.0830E-02 1.0540E-02 9.849E-03 4.523E-03
71363 True 0.19075074238893788 229654244478.26953 2.2965E+11 8.5192E-03 1.1020E-02 1.052E-02 6.011E-03
59948 True 0.20427892262385608 228076321470.50287 2.2808E+11 1.0224E-02 1.0066E-02 9.951E-03 4.930E-03
25423 True 0.20307790408023352 228683848988.95724 2.2868E+11 9.5491E-03 1.0210E-02 1.021E-02 5.359E-03
54974 True 0.20708405414369824 228138202767.6626 2.2814E+11 1.0051E-02 9.9362E-03 1.008E-02 4.944E-03
49738 True 0.20374545321397175 228255017418.27603 2.2826E+11 1.0330E-02 1.0096E-02 1.010E-02 4.878E-03
25010 True 0.20798472164090295 228143014066.6701 2.2814E+11 1.0134E-02 9.8836E-03 9.907E-03 4.982E-03
35686 True 0.20750427013417952 228210559147.89383 2.2821E+11 9.5749E-03 9.9489E-03 9.784E-03 4.877E-03
76994 True 0.20592108851884516 228364324353.85617 2.2836E+11 9.8651E-03 1.0024E-02 1.009E-02 5.038E-03
61667 True 0.20603664909408426 228615745092.78305 2.2862E+11 9.6619E-03 1.0038E-02 9.964E-03 5.296E-03
87704 True 0.21384230104789542 228257064341.4785 2.2826E+11 9.8863E-03 9.6676E-03 1.000E-02 4.896E-03
25044 True 0.22851520319506385 227072831061.5532 2.2707E+11 1.1385E-02 8.8980E-03 9.564E-03 4.126E-03
35895 True 0.20538803885168602 228385597028.50656 2.2839E+11 1.0006E-02 1.0041E-02 9.961E-03 5.153E-03
56334 True 0.20673026452701024 228266986776.25558 2.2827E+11 9.0107E-03 1.0032E-02 9.674E-03 4.810E-03
65668 True 0.20599502307165254 228497190887.4784 2.2850E+11 9.7577E-03 1.0031E-02 1.003E-02 5.174E-03
59805 True 0.20360292371392055 228601014845.86716 2.2860E+11 9.6583E-03 1.0170E-02 1.016E-02 5.279E-03
59569 True 0.206148738823114 228199355831.9147 2.2820E+11 9.8694E-03 1.0001E-02 9.993E-03 4.959E-03
4384 True 0.20959393153731298 228624132161.99652 2.2862E+11 9.6920E-03 9.8530E-03 9.923E-03 5.138E-03
64587 True 0.21114479768514496 228204948689.37976 2.2820E+11 9.9583E-03 9.7854E-03 1.004E-02 4.917E-03
84948 True 0.19684334881957763 228297495052.96533 2.2830E+11 1.0732E-02 1.0434E-02 1.034E-02 4.587E-03
91050 True 0.18139318433029472 230664502365.16196 2.3066E+11 7.4986E-03 1.1742E-02 1.081E-02 6.723E-03
41977 True 0.24177520754062637 226464461773.07266 2.2646E+11 1.2051E-02 8.3539E-03 9.353E-03 3.692E-03
53905 True 0.20595246885051458 227919636452.05984 2.2792E+11 1.0212E-02 9.9737E-03 1.015E-02 4.856E-03
